clip_identifier	TranscriptId	transcript	start_timestamp_ms	end_timestamp_ms	speaker_id	match_id	round
0fsyqs6d_r00_s0_p000	transid-97834bedbf305e8a-001668590905609	Start.	2600	3260	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-6b99c576e942effe-001668590906591	"Okay, I will describe the image."	3435	5300	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-91de1934775de5d9-001668590907162	There is a dog like it's sleeping on the sofa.	7275	10870	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-f44220805bc5e622-001668590907904	Okay?	11295	11775	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-99f18ad332e09580-001668590908639	and	12420	13420	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-20fa7c174824cb3c-001668590909348	The sofa is off totally white color	13700	16120	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-bde8fa6652bcbde4-001668590909725	and we have two pillows on it one is white pillow and one is	16435	20740	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-2fab2602304786a8-001668590910159	Done.	21400	22000	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p000	transid-581960f8107f0f26-001668590910556	chocolate 	21435	21970	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-46957e34e87d85ee-001668212941061	I can not hear.	0	1000	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-76041516519160e9-001668212942804	"Ok, there is an image of a pizza, Ok?"	2645	5620	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-5389fc69d67d198c-001668212943692	"Hmm,"	5975	6350	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-c1b060da006a2362-001668212944272	"Ok, there is an image of pizza and it is placed in a plate and we can see some uh, tomato garnishing on the top of the pizza"	6620	14300	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-5e80c28de017d4bb-001668212944845	Ok.	15389	15990	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-53bb0b5068150535-001668212945424	"and uh,"	15889	17970	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-3293515e3e28e0d6-001668212946000	"and the background we have like, what you say?"	19445	21990	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-a3bce268e728dbdd-001668212946952	"black and light reddish color of, kind of thing."	23200	27210	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-acf59824da7a78a2-001668212947525	And we have some	29365	30420	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-3f646b25169bbd9a-001668212948096	Is it a single piece of pizza?	29930	31654	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-e2abe95833810db8-001668212948675	"No, no it is whole total pizza."	31710	34125	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-067810882a79e315-001668212949249	"Whole total pizza and background it is completely of wood uh, brown color."	35290	39725	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-9ba79d7625547943-001668212949821	Yes. 	39589	40400	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-f49479020b39b5c2-001668212950396	Ok.	42365	43365	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-2c9fb47660d241f3-001668212950972	"You can see uh some leaves on on on the pizza like it's garnishing leaves,"	43390	47944	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-02def5173fafb80c-001668212951547	probably.	48480	48950	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-1dc5dcd9cbef382d-001668212952370	It's garnished by some leaves even.	49065	50870	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-2799ae21168f8692-001668212953439	Yeah.	50800	51330	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-6c67cdbd7d935a46-001668212954078	There are so many leaves or only some leaves?	51480	53190	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-9b5af67d1f5fd6ea-001668212954651	"We have some leaves but uh, in the front you can see two big leaves."	53574	58080	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-b5248418f46fd2fa-001668212955222		60095	61255	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-0465c3be9bd32bf4-001668212955796	two big leaves.	61255	62255	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p001	transid-109e367b7e0ac1a1-001668212956366	Hmm.	62495	63100	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-423f378270d84551-001668190390015	"Hmm, sorry, hmm, next?"	185	2400	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-c831ddf869b7923b-001668190390634	Ok.	1975	2350	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-8d0b7df549061f0a-001668190391718	"Ok, this is a image uh,"	4265	6185	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-f07462ee1fdbfc9f-001668190392675	"of eagle I think, Ok?"	6800	8100	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-73cb0fb09e7b94a7-001668190393326	"So, it's flying and at the background, the total is, total color is blue like sky blue."	8755	14460	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-4e27f6d1973e19cf-001668190393737	Hmm	15110	15700	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-f95a1b2075762f58-001668190394305	"Ok, facing towards right."	15650	18110	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-6ea6c4d8c8737ee3-001668190394941	"And the color of eagle is black and at the bottom we have uh, small white color"	19000	24600	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-5a568b5d3bacd757-001668190395187		19325	19999	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-1fe323a53a7a6a5c-001668190395944	I must check the mail.	25090	26090	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-5f5112987f515286-001668190396182		27410	27762	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-56dd83ff167b9cf8-001668190396899	and	29895	30700	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-941ab625e23154e1-001668190397724	"We have a sma, I mean a large beak of the eagle."	32380	35920	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-155fb5d96388e185-001668190398440	Did you get it?	36394	36955	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-bb45c8f9677d62ac-001668190398949	Ok.	37095	37500	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-20e46cea0b9c53a4-001668190400030	"Ok, ok hmm, please describe it more?"	38075	40555	Speaker1	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-1a9dd68f0925069b-001668190400999		41675	42275	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-ddbd615b4143a913-001668190401440	"One sec, one sec"	43440	44400	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-c451613561298a50-001668190402011	"Uh, it's like an eagle, Ok?"	51405	53400	Speaker0	0fsyqs6d	r00
0fsyqs6d_r00_s0_p002	transid-f578a586e439f0b8-001668190402585	And	54285	54900	Speaker0	0fsyqs6d	r00
