clip_identifier	duration	match_id	round	prompt_id	game_type	correct_word/image	distractors	prompt_status	prompt_num
0fsyqs6d_r00_s0_p000	22	0fsyqs6d	r00	image_p46816	image	/dogs/cairn/n02096177_2007.jpg	['/dogs/cairn/n02096177_2463.jpg', '/dogs/cairn/n02096177_2006.jpg', '/dogs/cairn/n02096177_8324.jpg', '/dogs/cairn/n02096177_9727.jpg', '/dogs/cairn/n02096177_10483.jpg', '/dogs/cairn/n02096177_1524.jpg', '/dogs/cairn/n02096177_627.jpg', '/dogs/cairn/n02096177_4902.jpg', '/dogs/cairn/n02096177_244.jpg', '/dogs/cairn/n02096177_7701.jpg', '/dogs/cairn/n02096177_622.jpg']	win	0
0fsyqs6d_r00_s0_p001	65	0fsyqs6d	r00	image_p1798	image	/ifood/pizza/train_079277.jpg	['/ifood/pizza/train_079343.jpg', '/ifood/pizza/train_079186.jpg', '/ifood/pizza/train_079383.jpg', '/ifood/pizza/train_079485.jpg', '/ifood/pizza/train_079416.jpg', '/ifood/pizza/train_079168.jpg', '/ifood/pizza/train_079231.jpg', '/ifood/pizza/train_079430.jpg', '/ifood/pizza/train_079251.jpg', '/ifood/pizza/train_079378.jpg', '/ifood/pizza/train_079445.jpg']	loss	1
0fsyqs6d_r00_s0_p002	61	0fsyqs6d	r00	image_p49147	image	/birds/Frigatebird/Frigatebird_0012_43062.jpg	['/birds/Frigatebird/Frigatebird_0001_43101.jpg', '/birds/Frigatebird/Frigatebird_0053_43220.jpg', '/birds/Frigatebird/Frigatebird_0073_43038.jpg', '/birds/Frigatebird/Frigatebird_0035_43420.jpg', '/birds/Frigatebird/Frigatebird_0097_43567.jpg', '/birds/Frigatebird/Frigatebird_0052_43411.jpg', '/birds/Frigatebird/Frigatebird_0006_43381.jpg', '/birds/Frigatebird/Frigatebird_0096_43571.jpg', '/birds/Frigatebird/Frigatebird_0084_43006.jpg', '/birds/Frigatebird/Frigatebird_0022_43457.jpg', '/birds/Frigatebird/Frigatebird_0116_43410.jpg']	win	2
0fsyqs6d_r00_s0_p003	23	0fsyqs6d	r00	image_p26357	image	/dogs/kuvasz/n02104029_1218.jpg	['/dogs/kuvasz/n02104029_1313.jpg', '/dogs/kuvasz/n02104029_992.jpg', '/dogs/kuvasz/n02104029_3491.jpg', '/dogs/kuvasz/n02104029_3493.jpg', '/dogs/kuvasz/n02104029_1075.jpg', '/dogs/kuvasz/n02104029_3734.jpg', '/dogs/kuvasz/n02104029_1757.jpg', '/dogs/kuvasz/n02104029_1289.jpg', '/dogs/kuvasz/n02104029_2861.jpg', '/dogs/kuvasz/n02104029_4696.jpg', '/dogs/kuvasz/n02104029_4667.jpg']	win	3
0fsyqs6d_r00_s0_p004	31	0fsyqs6d	r00	image_p42194	image	/ifood/hummus/train_047210.jpg	['/ifood/hummus/train_047513.jpg', '/ifood/hummus/train_047290.jpg', '/ifood/hummus/train_047279.jpg', '/ifood/hummus/train_047098.jpg', '/ifood/hummus/train_047229.jpg', '/ifood/hummus/train_047244.jpg', '/ifood/hummus/train_047490.jpg', '/ifood/hummus/train_047386.jpg', '/ifood/hummus/train_047385.jpg', '/ifood/hummus/train_047064.jpg', '/ifood/hummus/train_047255.jpg']	win	4
0fsyqs6d_r00_s0_p005	17	0fsyqs6d	r00	image_p29923	image	/dogs/kelpie/n02105412_6166.jpg	['/dogs/kelpie/n02105412_5138.jpg', '/dogs/kelpie/n02105412_855.jpg', '/dogs/kelpie/n02105412_1968.jpg', '/dogs/kelpie/n02105412_2620.jpg', '/dogs/kelpie/n02105412_5737.jpg', '/dogs/kelpie/n02105412_2333.jpg', '/dogs/kelpie/n02105412_5282.jpg', '/dogs/kelpie/n02105412_2067.jpg', '/dogs/kelpie/n02105412_4569.jpg', '/dogs/kelpie/n02105412_5961.jpg', '/dogs/kelpie/n02105412_1398.jpg']	win	5
0fsyqs6d_r00_s0_p006	16	0fsyqs6d	r00	image_p36617	image	/dogs/affenpinscher/n02110627_4542.jpg	['/dogs/affenpinscher/n02110627_9634.jpg', '/dogs/affenpinscher/n02110627_1446.jpg', '/dogs/affenpinscher/n02110627_11345.jpg', '/dogs/affenpinscher/n02110627_11657.jpg', '/dogs/affenpinscher/n02110627_11263.jpg', '/dogs/affenpinscher/n02110627_2997.jpg', '/dogs/affenpinscher/n02110627_3841.jpg', '/dogs/affenpinscher/n02110627_7065.jpg', '/dogs/affenpinscher/n02110627_7694.jpg', '/dogs/affenpinscher/n02110627_10439.jpg', '/dogs/affenpinscher/n02110627_10848.jpg']	win	6
0fsyqs6d_r00_s0_p007	28	0fsyqs6d	r00	image_p7961	image	/dogs/bull_mastiff/n02108422_2111.jpg	['/dogs/bull_mastiff/n02108422_1939.jpg', '/dogs/bull_mastiff/n02108422_5490.jpg', '/dogs/bull_mastiff/n02108422_5619.jpg', '/dogs/bull_mastiff/n02108422_2379.jpg', '/dogs/bull_mastiff/n02108422_56.jpg', '/dogs/bull_mastiff/n02108422_3726.jpg', '/dogs/bull_mastiff/n02108422_4639.jpg', '/dogs/bull_mastiff/n02108422_5117.jpg', '/dogs/bull_mastiff/n02108422_3273.jpg', '/dogs/bull_mastiff/n02108422_2353.jpg', '/dogs/bull_mastiff/n02108422_4000.jpg']	win	7
0fsyqs6d_r00_s0_p008	17	0fsyqs6d	r00	image_p18488	image	/birds/Gray_Catbird/Gray_Catbird_0045_20950.jpg	['/birds/Gray_Catbird/Gray_Catbird_0001_20695.jpg', '/birds/Gray_Catbird/Gray_Catbird_0141_21174.jpg', '/birds/Gray_Catbird/Gray_Catbird_0130_20328.jpg', '/birds/Gray_Catbird/Gray_Catbird_0080_20139.jpg', '/birds/Gray_Catbird/Gray_Catbird_0015_21230.jpg', '/birds/Gray_Catbird/Gray_Catbird_0019_20567.jpg', '/birds/Gray_Catbird/Gray_Catbird_0111_19550.jpg', '/birds/Gray_Catbird/Gray_Catbird_0127_20034.jpg', '/birds/Gray_Catbird/Gray_Catbird_0139_21281.jpg', '/birds/Gray_Catbird/Gray_Catbird_0044_20955.jpg', '/birds/Gray_Catbird/Gray_Catbird_0102_20644.jpg']	win	8
0g17psc4_r02_s0_p000	89	0g17psc4	r02	taboo_en_p2137	word	Electron	['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']	win	0
